# FINAL HIGH-STAT coherent eps_det table
# Broad coherent MC used for bins without dedicated MC
# 223-234: 224coh (monoenergetic at 224.186 MeV; documented proxy)
# 283-294: 294coh
# 319-330: 320coh
# 356-366: 366coh
# input: /media/daniele/LaCie/Output/Acqu_geant_He4pi0.root
# definition: eps_det(E_lab,theta_cm) = Nreco / Ngen_bin
# denominator: Ngen_bin = Ntagged_in_Ebin * DeltaOmega_cm/(4*pi), valid if MC was generated isotropically in CM
# reco selection: two neutral clusters E>20, veto<1, best pair 110 < mgg < 155 MeV
# applyMMCut = 1, MM cut = [-10,40] MeV
# E_low E_high E_center thetaCm_low thetaCm_high thetaCm_center DeltaOmega_sr Ngen_E Ngen_bin Nreco eps_det deps_det
391 401 396 90 95 92.5 0.547616 12521 545.639 353 0.646948 0.0204598
391 401 396 95 100 97.5 0.543448 12521 541.486 324 0.598354 0.0210672
391 401 396 100 105 102.5 0.535144 12521 533.212 379 0.710786 0.0196349
391 401 396 105 110 107.5 0.522768 12521 520.88 354 0.679618 0.0204455
391 401 396 110 115 112.5 0.506413 12521 504.585 334 0.661931 0.0210592
391 401 396 115 120 117.5 0.486204 12521 484.448 329 0.679123 0.021209
391 401 396 120 125 122.5 0.462294 12521 460.625 284 0.616553 0.022655
391 401 396 125 130 127.5 0.434867 12521 433.297 252 0.581588 0.0236983
391 401 396 130 135 132.5 0.404129 12521 402.67 258 0.640723 0.0239098
391 401 396 135 140 137.5 0.370316 12521 368.979 197 0.533905 0.0259698
391 401 396 140 145 142.5 0.333685 12521 332.48 184 0.553417 0.0272643
391 401 396 145 150 147.5 0.294514 12521 293.451 131 0.446412 0.0290198
